ID,NACIONALIDAD,TIPO_SONIDO,CANT_JUGADORES,FICHAS_MAX,SALON,JUEGO
22,Philippines,STEREO,3,456,Salon 6,Bubble Bobble
26,Cyprus,STEREO,3,482,Salon Retro,Bubble Bobble
50,Portugal,MONO,4,294,Salon 3,Bubble Bobble
94,China,STEREO,5,442,Salon Retro,Bubble Bobble
99,Philippines,STEREO,4,274,Salon Retro,Bubble Bobble
108,Russia,STEREO,3,477,Salon 6,Bubble Bobble
124,China,MONO,2,184,Salon 2021,Bubble Bobble
166,Sweden,MONO,2,197,Salon 1,Bubble Bobble
174,South Africa,STEREO,5,378,Salon VR,Bubble Bobble
178,Belarus,STEREO,2,425,Salon Carreras,Bubble Bobble
179,Benin,MONO,3,238,Salon 1,Bubble Bobble
184,Sweden,MONO,3,255,Salon 6,Bubble Bobble
206,United States,STEREO,5,317,Salon 6,Bubble Bobble
242,Indonesia,STEREO,4,462,Salon 2,Bubble Bobble
254,China,STEREO,5,211,Salon 1,Bubble Bobble
266,China,STEREO,2,138,Salon Carreras,Bubble Bobble
270,Sweden,STEREO,3,356,Salon 6,Bubble Bobble
274,Russia,STEREO,3,356,Salon 1,Bubble Bobble
281,Greece,MONO,5,238,Salon 4,Bubble Bobble
305,France,STEREO,5,267,Salon 6,Bubble Bobble
320,Portugal,STEREO,3,332,Salon VR,Bubble Bobble
365,Ethiopia,STEREO,4,488,Salon 2021,Bubble Bobble
372,Russia,STEREO,4,221,Salon Retro,Bubble Bobble
380,Indonesia,MONO,2,138,Salon 5,Bubble Bobble
415,China,STEREO,3,412,Salon VR,Bubble Bobble
446,Germany,STEREO,4,136,Salon VR,Bubble Bobble
458,China,MONO,4,348,Salon VR,Bubble Bobble
472,Iran,MONO,5,193,Salon 2,Bubble Bobble
38,Philippines,MONO,2,187,Salon 5,Castelvania
65,Indonesia,MONO,4,260,Salon 1,Castelvania
80,Czech Republic,MONO,4,385,Salon Carreras,Castelvania
85,China,MONO,2,148,Salon 2021,Castelvania
103,China,MONO,3,232,Salon VR,Castelvania
114,Chile,STEREO,5,282,Salon 6,Castelvania
126,Bolivia,MONO,5,391,Salon 2021,Castelvania
155,China,MONO,3,397,Salon 6,Castelvania
183,Japan,MONO,2,284,Salon 4,Castelvania
198,Panama,STEREO,4,283,Salon Retro,Castelvania
248,United States,MONO,4,304,Salon 1,Castelvania
267,Mozambique,MONO,3,414,Salon VR,Castelvania
299,China,MONO,3,113,Salon 4,Castelvania
312,Indonesia,STEREO,2,218,Salon 6,Castelvania
322,Greece,MONO,5,143,Salon VR,Castelvania
343,Albania,MONO,2,375,Salon 6,Castelvania
349,Russia,STEREO,3,371,Salon VR,Castelvania
350,China,STEREO,2,247,Salon 5,Castelvania
403,Czech Republic,MONO,5,168,Salon Carreras,Castelvania
418,Russia,MONO,3,150,Salon Retro,Castelvania
435,China,MONO,3,340,Salon 4,Castelvania
485,France,MONO,4,142,Salon Carreras,Castelvania
493,Chad,MONO,5,186,Salon VR,Castelvania
29,Mauritius,STEREO,4,393,Salon 1,Double Dragon
214,Indonesia,MONO,5,494,Salon VR,Double Dragon
249,Greece,STEREO,2,345,Salon VR,Double Dragon
258,Indonesia,MONO,2,232,Salon 2021,Double Dragon
276,Indonesia,STEREO,2,223,Salon 2021,Double Dragon
315,Czech Republic,MONO,3,110,Salon Carreras,Double Dragon
327,Greece,STEREO,2,172,Salon 3,Double Dragon
328,Brazil,STEREO,3,135,Salon 1,Double Dragon
329,Albania,MONO,3,386,Salon 3,Double Dragon
367,China,MONO,2,381,Salon 3,Double Dragon
376,Martinique,STEREO,5,387,Salon 4,Double Dragon
382,Peru,MONO,2,491,Salon 2,Double Dragon
383,Indonesia,MONO,5,456,Salon VR,Double Dragon
384,Japan,STEREO,2,134,Salon VR,Double Dragon
396,China,MONO,4,439,Salon Carreras,Double Dragon
397,Philippines,MONO,2,144,Salon 4,Double Dragon
404,Indonesia,STEREO,4,351,Salon 3,Double Dragon
405,Indonesia,MONO,5,394,Salon Retro,Double Dragon
410,Russia,STEREO,5,161,Salon 3,Double Dragon
425,Poland,STEREO,4,288,Salon 4,Double Dragon
427,China,STEREO,5,166,Salon 2021,Double Dragon
487,China,MONO,4,236,Salon 2021,Double Dragon
500,Morocco,MONO,4,327,Salon VR,Double Dragon
123,Nigeria,STEREO,5,390,Salon Retro,Frogger
142,France,MONO,5,494,Salon 2021,Frogger
156,Nepal,MONO,5,217,Salon 2021,Frogger
221,China,STEREO,2,439,Salon 3,Frogger
239,Brazil,MONO,2,211,Salon 6,Frogger
250,China,STEREO,3,335,Salon 3,Frogger
257,Russia,MONO,2,287,Salon 2021,Frogger
280,Russia,MONO,3,454,Salon VR,Frogger
285,Thailand,STEREO,3,260,Salon 4,Frogger
289,Sweden,MONO,2,227,Salon 3,Frogger
292,China,MONO,4,154,Salon VR,Frogger
303,Mexico,STEREO,5,197,Salon 3,Frogger
310,China,STEREO,3,145,Salon Retro,Frogger
355,Portugal,MONO,4,174,Salon 2,Frogger
389,Indonesia,STEREO,4,147,Salon 2021,Frogger
390,Liberia,MONO,3,223,Salon 6,Frogger
432,Ukraine,STEREO,5,473,Salon 3,Frogger
39,China,STEREO,3,392,Salon 2021,Galaga
48,Indonesia,MONO,3,372,Salon 1,Galaga
55,Iran,MONO,2,469,Salon VR,Galaga
70,Albania,STEREO,4,376,Salon VR,Galaga
78,Colombia,STEREO,3,227,Salon 1,Galaga
160,Malaysia,STEREO,5,442,Salon 2,Galaga
217,Portugal,STEREO,2,500,Salon Carreras,Galaga
247,Iran,MONO,5,477,Salon Carreras,Galaga
279,Thailand,MONO,3,264,Salon Retro,Galaga
306,Nicaragua,STEREO,5,122,Salon 2,Galaga
346,Malaysia,STEREO,4,401,Salon VR,Galaga
363,Philippines,MONO,2,331,Salon 2,Galaga
379,Canada,MONO,4,100,Salon 2,Galaga
402,Philippines,STEREO,4,122,Salon 6,Galaga
416,South Africa,STEREO,2,288,Salon 1,Galaga
419,Portugal,STEREO,5,131,Salon 4,Galaga
423,Indonesia,STEREO,2,218,Salon 6,Galaga
445,Canada,STEREO,4,403,Salon 4,Galaga
449,China,MONO,5,476,Salon 4,Galaga
451,Finland,STEREO,4,335,Salon 2021,Galaga
460,Poland,MONO,5,288,Salon 2,Galaga
498,Mozambique,MONO,4,359,Salon 2021,Galaga
14,Indonesia,STEREO,2,347,Salon Carreras,Metal Slug
43,Philippines,STEREO,5,496,Salon 5,Metal Slug
72,Ecuador,STEREO,3,169,Salon Carreras,Metal Slug
74,Sri Lanka,STEREO,2,307,Salon Carreras,Metal Slug
102,Indonesia,MONO,3,155,Salon 2,Metal Slug
110,Indonesia,STEREO,4,239,Salon 1,Metal Slug
128,China,STEREO,5,458,Salon 6,Metal Slug
139,Czech Republic,STEREO,3,136,Salon VR,Metal Slug
171,Paraguay,MONO,5,311,Salon 2,Metal Slug
175,Poland,MONO,5,135,Salon VR,Metal Slug
199,Panama,STEREO,5,243,Salon 2,Metal Slug
225,China,MONO,4,165,Salon 1,Metal Slug
226,Philippines,MONO,4,408,Salon Retro,Metal Slug
228,Indonesia,STEREO,3,227,Salon Retro,Metal Slug
231,China,MONO,3,485,Salon 3,Metal Slug
261,Ireland,STEREO,4,475,Salon 1,Metal Slug
354,China,STEREO,3,362,Salon 2,Metal Slug
368,China,MONO,5,154,Salon 4,Metal Slug
443,Sweden,STEREO,2,354,Salon Retro,Metal Slug
501,usa,ESTEREO,5,50,Sacoa florida,Mili
4,United States,STEREO,3,315,Salon 6,Mortal Kombat
6,Indonesia,STEREO,2,481,Salon Retro,Mortal Kombat
53,Indonesia,STEREO,4,442,Salon 3,Mortal Kombat
116,Poland,MONO,3,173,Salon 6,Mortal Kombat
140,Armenia,STEREO,4,396,Salon 1,Mortal Kombat
143,China,MONO,5,333,Salon 2021,Mortal Kombat
147,United States,MONO,2,421,Salon 2,Mortal Kombat
181,United States,MONO,5,356,Salon 1,Mortal Kombat
203,France,STEREO,4,205,Salon 2021,Mortal Kombat
218,Russia,MONO,5,252,Salon 1,Mortal Kombat
223,Ecuador,STEREO,3,276,Salon 2,Mortal Kombat
227,Russia,STEREO,5,341,Salon 1,Mortal Kombat
245,Ivory Coast,STEREO,3,263,Salon Retro,Mortal Kombat
269,Venezuela,STEREO,2,349,Salon 6,Mortal Kombat
323,China,STEREO,5,475,Salon 2021,Mortal Kombat
381,Indonesia,STEREO,2,451,Salon 3,Mortal Kombat
406,Philippines,MONO,2,406,Salon 3,Mortal Kombat
454,Russia,MONO,5,390,Salon 4,Mortal Kombat
463,China,MONO,2,479,Salon 2021,Mortal Kombat
479,Indonesia,STEREO,3,148,Salon 4,Mortal Kombat
490,Philippines,STEREO,5,192,Salon Retro,Mortal Kombat
9,Russia,MONO,5,498,Salon 2021,Out Run
15,Sweden,STEREO,3,434,Salon 3,Out Run
27,Cuba,MONO,3,196,Salon VR,Out Run
60,Uruguay,STEREO,2,380,Salon 6,Out Run
71,Micronesia,STEREO,5,415,Salon VR,Out Run
75,Argentina,MONO,3,178,Salon 1,Out Run
76,China,STEREO,4,141,Salon 2021,Out Run
119,China,STEREO,5,474,Salon 2021,Out Run
132,Argentina,STEREO,2,436,Salon 2021,Out Run
137,France,MONO,4,289,Salon 6,Out Run
138,Indonesia,MONO,4,151,Salon 3,Out Run
152,Argentina,STEREO,3,153,Salon VR,Out Run
157,Estonia,MONO,2,301,Salon 2,Out Run
169,Philippines,STEREO,5,188,Salon 4,Out Run
191,Zimbabwe,STEREO,5,459,Salon 3,Out Run
207,China,MONO,4,455,Salon 5,Out Run
259,China,STEREO,2,161,Salon VR,Out Run
283,Greece,MONO,2,129,Salon 1,Out Run
288,Palestinian Territory,STEREO,4,412,Salon Retro,Out Run
311,Finland,STEREO,5,135,Salon 5,Out Run
333,China,MONO,4,311,Salon 2021,Out Run
377,China,STEREO,2,211,Salon Retro,Out Run
395,Indonesia,MONO,3,198,Salon 6,Out Run
401,Germany,STEREO,2,487,Salon 3,Out Run
441,Nauru,STEREO,2,449,Salon 3,Out Run
32,Afghanistan,STEREO,3,116,Salon 3,Pacman
34,Russia,STEREO,5,301,Salon 6,Pacman
62,China,STEREO,5,454,Salon 1,Pacman
79,China,MONO,4,360,Salon 6,Pacman
113,China,STEREO,3,109,Salon 2021,Pacman
120,Mexico,STEREO,5,335,Salon VR,Pacman
154,Indonesia,MONO,2,332,Salon 2021,Pacman
177,French Guiana,STEREO,4,184,Salon 1,Pacman
196,Iran,MONO,5,194,Salon 3,Pacman
200,China,STEREO,2,380,Salon 1,Pacman
202,Afghanistan,STEREO,2,467,Salon Carreras,Pacman
204,Brazil,STEREO,2,113,Salon 6,Pacman
232,Dominica,STEREO,2,386,Salon Retro,Pacman
256,Mauritius,MONO,3,123,Salon 1,Pacman
319,France,STEREO,3,295,Salon 2,Pacman
339,France,STEREO,2,262,Salon 2021,Pacman
361,China,STEREO,5,351,Salon 4,Pacman
414,Chile,MONO,2,169,Salon Carreras,Pacman
429,China,STEREO,4,190,Salon 3,Pacman
444,Indonesia,MONO,2,134,Salon 5,Pacman
447,China,MONO,5,331,Salon 6,Pacman
448,Russia,STEREO,3,221,Salon 5,Pacman
456,Brazil,MONO,4,119,Salon Carreras,Pacman
457,Lithuania,MONO,3,211,Salon 4,Pacman
470,Nigeria,MONO,2,400,Salon 2,Pacman
477,Albania,MONO,4,100,Salon 3,Pacman
20,Brazil,MONO,3,343,Salon 3,Pong
37,Indonesia,STEREO,5,239,Salon Retro,Pong
40,Greece,MONO,5,223,Salon 4,Pong
41,Ireland,MONO,4,420,Salon Carreras,Pong
51,Uganda,MONO,3,303,Salon 5,Pong
107,Mexico,STEREO,4,472,Salon 5,Pong
135,China,STEREO,3,267,Salon 2,Pong
146,Slovenia,MONO,5,177,Salon 3,Pong
161,Czech Republic,STEREO,2,221,Salon Carreras,Pong
211,Hungary,MONO,2,355,Salon 2,Pong
233,Azerbaijan,STEREO,5,209,Salon 3,Pong
244,China,STEREO,4,175,Salon 6,Pong
255,Japan,STEREO,3,382,Salon Carreras,Pong
296,Sweden,STEREO,2,120,Salon Carreras,Pong
302,Bangladesh,STEREO,3,376,Salon 2021,Pong
340,Japan,MONO,2,227,Salon 4,Pong
347,Brazil,STEREO,3,378,Salon Carreras,Pong
356,Germany,MONO,5,499,Salon VR,Pong
360,China,STEREO,4,238,Salon VR,Pong
412,Ecuador,STEREO,3,238,Salon 4,Pong
436,Bangladesh,MONO,3,395,Salon VR,Pong
496,Mexico,MONO,4,134,Salon 4,Pong
8,Japan,MONO,2,396,Salon 1,Space Invaders
11,China,MONO,4,278,Salon Carreras,Space Invaders
23,Belarus,STEREO,2,415,Salon 3,Space Invaders
52,Paraguay,MONO,2,107,Salon 5,Space Invaders
105,Philippines,STEREO,3,213,Salon Carreras,Space Invaders
112,China,STEREO,5,444,Salon Retro,Space Invaders
189,Ukraine,MONO,4,133,Salon 2021,Space Invaders
235,China,MONO,4,336,Salon Retro,Space Invaders
252,China,MONO,5,408,Salon 4,Space Invaders
268,Brazil,STEREO,2,101,Salon 2021,Space Invaders
348,South Africa,STEREO,3,478,Salon VR,Space Invaders
392,Peru,STEREO,5,120,Salon 3,Space Invaders
400,China,MONO,2,276,Salon 2,Space Invaders
424,Russia,MONO,5,422,Salon 1,Space Invaders
433,China,MONO,5,116,Salon Retro,Space Invaders
450,Libya,STEREO,2,441,Salon 3,Space Invaders
466,Czech Republic,MONO,5,132,Salon 1,Space Invaders
468,China,STEREO,5,370,Salon 6,Space Invaders
475,Philippines,MONO,2,269,Salon 4,Space Invaders
46,China,STEREO,4,456,Salon 5,Star Wars
84,Honduras,MONO,5,389,Salon 3,Star Wars
92,Sweden,STEREO,2,360,Salon 3,Star Wars
98,Indonesia,STEREO,3,479,Salon 2,Star Wars
109,Bulgaria,STEREO,3,284,Salon 6,Star Wars
121,New Caledonia,STEREO,2,293,Salon Retro,Star Wars
127,Peru,STEREO,3,411,Salon VR,Star Wars
149,Philippines,STEREO,2,150,Salon 1,Star Wars
150,Philippines,STEREO,3,267,Salon Carreras,Star Wars
209,Luxembourg,MONO,2,212,Salon 6,Star Wars
265,China,MONO,3,169,Salon 1,Star Wars
272,China,STEREO,4,241,Salon Carreras,Star Wars
277,Peru,MONO,5,490,Salon 5,Star Wars
301,Guatemala,MONO,2,463,Salon 2021,Star Wars
330,Philippines,MONO,4,312,Salon 2021,Star Wars
374,Saudi Arabia,STEREO,5,226,Salon 4,Star Wars
388,Philippines,STEREO,2,112,Salon 2,Star Wars
437,China,STEREO,3,313,Salon 1,Star Wars
471,Philippines,STEREO,4,478,Salon VR,Star Wars
480,Indonesia,MONO,3,226,Salon 6,Star Wars
489,Azerbaijan,STEREO,2,473,Salon 2021,Star Wars
35,Indonesia,STEREO,4,207,Salon Retro,Street Fighter II
91,Indonesia,STEREO,4,433,Salon Retro,Street Fighter II
100,China,STEREO,5,213,Salon 3,Street Fighter II
141,Guatemala,STEREO,3,396,Salon 2,Street Fighter II
145,Russia,MONO,5,354,Salon 3,Street Fighter II
172,China,MONO,4,416,Salon 2,Street Fighter II
176,Canada,STEREO,3,401,Salon Carreras,Street Fighter II
260,Slovenia,STEREO,3,494,Salon Carreras,Street Fighter II
264,Argentina,STEREO,2,289,Salon 2021,Street Fighter II
295,Dominican Republic,MONO,5,343,Salon 5,Street Fighter II
317,Indonesia,STEREO,3,236,Salon 2021,Street Fighter II
332,Russia,MONO,2,255,Salon 3,Street Fighter II
338,Brazil,MONO,3,262,Salon VR,Street Fighter II
352,Ukraine,MONO,2,259,Salon Retro,Street Fighter II
375,Brazil,MONO,2,102,Salon 3,Street Fighter II
386,Iran,STEREO,4,120,Salon 6,Street Fighter II
387,China,STEREO,2,401,Salon 3,Street Fighter II
428,Indonesia,MONO,5,198,Salon 2,Street Fighter II
431,China,MONO,5,257,Salon Retro,Street Fighter II
476,China,MONO,2,130,Salon 3,Street Fighter II
5,China,STEREO,5,443,Salon 3,Tetris
44,Russia,MONO,5,151,Salon Carreras,Tetris
57,Madagascar,MONO,3,412,Salon 5,Tetris
59,Philippines,STEREO,4,303,Salon Carreras,Tetris
81,Russia,STEREO,3,276,Salon Retro,Tetris
97,Portugal,MONO,2,157,Salon 2,Tetris
151,Thailand,MONO,4,109,Salon 5,Tetris
164,China,STEREO,4,372,Salon 3,Tetris
173,Ukraine,STEREO,3,468,Salon 4,Tetris
180,Haiti,MONO,3,366,Salon Retro,Tetris
186,Russia,MONO,3,392,Salon VR,Tetris
220,China,MONO,3,276,Salon 5,Tetris
230,Serbia,MONO,3,299,Salon 2,Tetris
308,Canada,STEREO,2,185,Salon 2,Tetris
321,Indonesia,STEREO,4,404,Salon 3,Tetris
370,Kosovo,MONO,4,331,Salon 4,Tetris
408,Russia,STEREO,4,201,Salon Retro,Tetris
417,China,MONO,3,117,Salon 5,Tetris
430,Brazil,MONO,4,442,Salon 2,Tetris
455,China,MONO,2,384,Salon 4,Tetris
461,Indonesia,MONO,2,148,Salon 6,Tetris
462,Yemen,STEREO,5,372,Salon 4,Tetris
464,China,STEREO,4,232,Salon 2021,Tetris
465,Uganda,MONO,3,329,Salon 1,Tetris
469,Iran,STEREO,5,466,Salon Retro,Tetris
483,Afghanistan,MONO,4,331,Salon 6,Tetris
495,Brazil,STEREO,5,150,Salon 3,Tetris
13,Philippines,MONO,5,124,Salon Retro,Tron
31,Kazakhstan,MONO,3,309,Salon 3,Tron
61,Ireland,MONO,3,197,Salon 1,Tron
69,Russia,MONO,5,113,Salon 1,Tron
104,Portugal,STEREO,3,301,Salon 3,Tron
117,Japan,MONO,5,487,Salon Carreras,Tron
133,Ukraine,STEREO,2,411,Salon 2021,Tron
148,Japan,STEREO,2,169,Salon 2021,Tron
185,Brazil,STEREO,3,276,Salon 2,Tron
210,Mongolia,MONO,5,360,Salon VR,Tron
213,United States,MONO,2,349,Salon 1,Tron
243,Indonesia,STEREO,2,351,Salon Retro,Tron
273,China,MONO,5,171,Salon 1,Tron
294,Indonesia,STEREO,4,463,Salon Carreras,Tron
324,Namibia,STEREO,4,208,Salon 2,Tron
344,Dominican Republic,MONO,3,436,Salon 2,Tron
359,Ireland,MONO,4,334,Salon VR,Tron
411,China,STEREO,2,429,Salon 3,Tron
434,Mauritania,MONO,5,401,Salon Carreras,Tron
438,Pakistan,STEREO,2,194,Salon 4,Tron
481,Indonesia,MONO,5,488,Salon Retro,Tron
10,Indonesia,STEREO,2,320,Salon 2021,Virtua Cop
18,Sweden,MONO,2,380,Salon 2021,Virtua Cop
19,Ethiopia,MONO,2,105,Salon 6,Virtua Cop
24,Sri Lanka,STEREO,5,333,Salon 1,Virtua Cop
45,Indonesia,STEREO,3,315,Salon 6,Virtua Cop
54,Greece,MONO,2,454,Salon 2021,Virtua Cop
64,Japan,MONO,3,260,Salon 2,Virtua Cop
82,New Zealand,STEREO,4,206,Salon 6,Virtua Cop
101,Estonia,MONO,4,215,Salon 3,Virtua Cop
111,Russia,MONO,3,429,Salon Carreras,Virtua Cop
122,Portugal,STEREO,3,106,Salon 1,Virtua Cop
129,Peru,STEREO,2,422,Salon 3,Virtua Cop
190,Philippines,STEREO,3,375,Salon 4,Virtua Cop
216,Indonesia,MONO,2,116,Salon Retro,Virtua Cop
236,Bulgaria,MONO,4,471,Salon VR,Virtua Cop
253,China,MONO,5,330,Salon 1,Virtua Cop
282,Malaysia,MONO,4,421,Salon 1,Virtua Cop
307,Sweden,MONO,2,379,Salon 3,Virtua Cop
314,Indonesia,STEREO,2,145,Salon 4,Virtua Cop
357,Comoros,MONO,2,348,Salon Carreras,Virtua Cop
358,Costa Rica,STEREO,4,483,Salon Carreras,Virtua Cop
373,Russia,STEREO,2,297,Salon 2,Virtua Cop
394,Brazil,MONO,5,195,Salon 6,Virtua Cop
407,Poland,MONO,2,215,Salon VR,Virtua Cop
486,Netherlands,STEREO,2,163,Salon 2021,Virtua Cop
